"","VIDEO_ID","SIZE","VIEWS.x","LENGTH","BITRATE.x","V4","V5.y","RATE","CLASS"
"249","1E5TEcNP1Kc",9983902,312,303,32950.1716171617,"Pets & Animals",303,4.5,"1"
"250","1EawPGrVz9o",20055328,2106,499,40191.0380761523,"News & Politics",499,5,"1"
"251","1Es5HV529xI",13899486,127273,334,41615.2275449102,"Comedy",334,4.85,"1"
"252","1etlZaf6zUw",6003940,112551,148,40567.1621621622,"People & Blogs",148,4.32,"1"
"253","1FHA1XEEGrE",2576735,71,60,42945.5833333333,"Music",60,0,"5"
"254","1ftJhDBZqss",7414065,27035,210,35305.0714285714,"Howto & DIY",210,3.78,"2"
"255","1fw1CcxCUgg",3257135,393566,130,25054.8846153846,"Sports",130,4.77,"1"
"256","1G4517MgYsE",20521720,23212,503,40798.648111332,"Film & Animation",503,4.79,"1"
"257","1G8_BbERk8o",3225511,199140,87,37074.8390804598,"Entertainment",87,4.71,"1"
"258","1gFNkVY3jAo",20629738,457,504,40932.0198412698,"People & Blogs",504,4,"1"
"259","1GiLxkDK8sI",3533878,18162,95,37198.7157894737,"Entertainment",95,4.96,"1"
"260","1GjX8ckafKY",8012162,1116,192,41730.0104166667,"News & Politics",192,3,"2"
"261","1G-VsKv7nTE",9048731,796,218,41507.9403669725,"Entertainment",218,5,"1"
"262","1GwP2WD5oN8",11841884,2113,284,41696.7746478873,"Music",284,5,"1"
"263","1gWuGk8omp8",2630711,163319,140,18790.7928571429,"Entertainment",140,4.06,"1"
"264","1gYQhWJKlMQ",18553886,9067,574,32323.8432055749,"Film & Animation",574,4.42,"1"
"265","1GzCG2aSABk",3405700,209577,83,41032.5301204819,"News & Politics",83,4.61,"1"
"266","1HEPc3d0J04",6469533,304,157,41207.2165605096,"Music",157,0,"5"
"267","1HGbntUqbi4",9721823,1618,362,26855.864640884,"Entertainment",362,3.43,"2"
"268","1hm_h4XeGAE",12569400,138119,304,41346.7105263158,"Comedy",304,4.76,"1"
"269","1hqdfvW-HRo",50781337,5118,1570,32344.8006369427,"Gadgets & Games",1570,4.04,"1"
"270","1hrQPCMxeP0",6793533,459,158,42997.0443037975,"People & Blogs",158,5,"1"
"271","1HWoM3G7aig",12553776,11105,301,41706.8970099668,"Film & Animation",301,4.81,"1"
"272","1_I4WgBfETc",5927338,10568,147,40322.0272108844,"Entertainment",147,4.96,"1"
"273","1IqoanJnk9Y",2976292,5963,122,24395.8360655738,"News & Politics",122,4.56,"1"
"274","1IzZmoUVe3o",2659846,2914,64,41560.09375,"News & Politics",64,5,"1"
"275","1jr4O27sMyI",22328315,42,546,40894.3498168498,"Comedy",546,5,"1"
"276","1JR5HFgw89Q",11458670,12731,276,41516.9202898551,"Film & Animation",276,4.79,"1"
"277","1jRnqHVgcUk",1490997,2234,36,41416.5833333333,"News & Politics",36,4.92,"1"
"278","1JwENjYxl0E",21982786,9693,531,41398.8436911488,"Film & Animation",531,4.94,"1"
"279","1KAJWx-WWy0",18215901,918109,448,40660.4933035714,"Comedy",448,4.86,"1"
"280","1kDKl3oRU0g",6255509,51481,152,41154.6644736842,"News & Politics",152,3.89,"2"
"281","1kvdq8cRNBM",16152286,421383,390,41416.1179487179,"Howto & DIY",390,4.85,"1"
"282","1kVsVWb3_co",6389807,584,147,43468.074829932,"News & Politics",147,3,"2"
"283","1LB5Qu74xro",17723160,951,479,37000.3340292276,"News & Politics",479,4.57,"1"
"284","1lCzIMacsEs",8293262,33596,199,41674.6834170854,"Music",199,4.85,"1"
"285","1lGhwZhjhsw",36682586,2517,1036,35407.9015444015,"Entertainment",1036,4.9,"1"
"286","1lL6x0oBI6Q",10082714,335,244,41322.5983606557,"Gadgets & Games",244,4,"1"
"287","1loyjm4SOa0",8608508,80068,235,36631.9489361702,"Comedy",235,4.92,"1"
"288","1LQwgZch0GU",9188303,623,227,40477.1057268722,"News & Politics",227,4.75,"1"
"289","1lsc_X7ls8o",6516802,49860,159,40986.1761006289,"Howto & DIY",159,4.6,"1"
"290","1lT2Tq2rC9I",7422503,44206,183,40560.1256830601,"Music",183,4.76,"1"
"291","1Ltffa7mlKs",22464129,10789,543,41370.4033149171,"Film & Animation",543,4.8,"1"
